,Year,Literacy Rate(%),Population growth rate (%),Inflation Rate (%)
0,1980.0,26.0,2.47%,0.82
1,1981.0,27.0,2.65%,7.23
2,1982.0,27.8,2.79%,2.13
3,1983.0,28.2,2.81%,3.88
4,1984.0,28.8,2.73%,4.8
5,1985.0,29.5,2.59%,3.34
6,1986.0,30.1,2.41%,4.17
7,1987.0,30.8,2.26%,9.87%
8,1988.0,31.4,2.19%,7.41%
9,1989.0,32.0,2.15%,6.05%
10,1990.0,32.6,2.15%,6.13%
11,1991.0,33.3,1.96%,6.36%
12,1992.0,34.0,1.86%,3.63%
13,1993.0,34.7,1.93%,3.01%
14,1994.0,35.3,1.94%,5.31%
15,1995.0,36.0,1.88%,10.30%
16,1996.0,36.7,1.77%,2.38%
17,1997.0,37.5,1.80%,5.31%
18,1998.0,38.2,1.89%,8.40%
19,1999.0,39.1,1.93%,6.11%
20,2000.0,51.3,1.92,2.21
21,2001.0,47.5,1.92,2.01
22,2002.0,48.3,1.88,3.33
23,2003.0,49.2,1.76,5.67
24,2004.0,50.0,1.68,7.59
25,2005.0,51.0,1.53,7.05
26,2006.0,52.0,1.22,6.77
27,2007.0,53.0,1.06,9.11
28,2008.0,54.1,0.89,8.9
29,2009.0,55.1,0.88,5.42
30,2010.0,56.4,1.15,8.13
31,2011.0,58.76,1.23,11.4
32,2012.0,57.86,1.25,6.22
33,2013.0,61.02,1.28,7.53
34,2014.0,61.09,1.25,6.99
35,2015.0,65.14,1.2,6.19
36,2016.0,72.76,1.24,5.51
37,2017.0,72.89,1.26,5.7
38,2018.0,73.91,1.17,5.54
39,2019.0,74.68,1.12,5.59
40,2020.0,74.91,1.15,5.69
41,2021.0,76.36,1.16,5.55
42,2022.0,74.0,1.08,7.7
43,2023.0,76.8,1.03,9.88
44,2024.0,77.9,1.01,10.24
45,2025.0,77.11,0.98,8.49
